ID;LITERAL;CIE9;CIE10;SNOMED
2442;DIABETES MELLITUS;250.00;E11.9;73211009
2443;DIABETES MELLITUS TIPO 2 SIN COMPLICACIONES     ( DM2 );250.0;E11.9;313436004
2444;DIABETES MELLITUS TIPO 2 DESCOMPENSADA     ( DM2 );250.00;E11.9;313436004
2445;DIABETES MELLITUS TIPO 1 SIN COMPLICACIONES NO DESCOMPENSADA     ( DM1 );250.01;E10.9;313435000
2446;DIABETES MELLITUS TIPO 2 SIN MENCION COMPLICACION DESCOMPENSADA    ( DM2 );250.02;E11.65;443694000
2447;DIABETES MELLITUS TIPO 1 DESCOMPENSADA;250.03;E10.65;444073006
2448;DIABETES MELLITUS CON CETOACIDOSIS;250.1;E13.10;420422005
2449;CETOACIDOSIS EN DIABETES MELLITUS TIPO 2;250.10;E11.65;421750000
2450;CETOACIDOSIS EN DIABETES MELLITUS DE TIPO 1;250.11;E10.10;420270002
2451;DIABETES MELLITUS CON CETOACIDOSIS TIPO 2 DESCOMPENSADA;250.12;E11.69;421750000
2452;DIABETES MELLITUS TIPO 1 CON CETOACIDOSIS DESCOMPENSADA     ( DM1 );250.13;E10.10;420270002
2453;COMA HIPEROSMOLAR;250.2;E11.00;190329007
2454;DIABETES MELLITUS CON HIPEROSMOLARIDAD TIPO 2;250.20;E11.00;190329007
2455;DIABETES MELLITUS TIPO 1 CON COMA HIPEROSMOLAR;250.21;E10.69;190330002
2456;DIABETES MELLITUS TIPO 2  CON HIPEROSMOLARIDAD DESCOMPENSADA     ( DM2 );250.22;E11.00;190329007
2457;DIABETES MELLITUS TIPO 1 CON HIPEROSMOLARIDAD DESCOMPENSADA     ( DM1 );250.23;E10.69;428896009
2458;COMA ASOCIADO CON DIABETES MELLITUS;250.3;E11.641;420662003
2459;COMA NO CETOSICO NI HIPEROSMOLAR ASOCIADO CON DIABETES MELLITUS;250.30;E11.641;421966007
2460;DIABETES MELLITUS TIPO 1 CON OTRO COMA NO DESCOMPENSADA     ( DM1 );250.31;E10.641;314771006
2461;DIABETES MELLITUS TIPO 2 CON OTRO COMA DESCOMPENSADA     ( DM2 );250.32;E11.01;421847006
2462;DIABETES MELLITUS CON OTRO COMA , TIPO 1 DESCOMPENSADA;250.33;E10.11;421075007
2463;DIABETES MELLITUS CON MANIFESTACION RENAL;250.4;E08.21;127013003
2464;TRASTORNO RENAL ASOCIADO CON DIABETES MELLITUS DE TIPO 2;250.40;E11.29;420279001
2465;TRASTORNO RENAL ASOCIADO CON DIABETES MELLITUS TIPO 1;250.41;E10.29;421893009
2466;DIABETES MELLITUS TIPO 2 CON MANIFESTACIONES RENALES.  DESCOMPENSADA     ( DM2 );250.42;E11.21;420279001
2467;DIABETES MELLITUS TIPO 1 CON MANIFESTACIONES RENALES. DESCOMPENSADA     ( DM1 );250.43;E10.21;421893009
2468;MANIFESTACIONES OFTALMICAS DE LA DIABETES;250.52;E11.39;25093002
2469;DIABETES MELLITUS TIPO 2 CON MANIFESTACIONES OFTALMOLOGICAS NO DESCOMPENSADA     ( DM2 );250.50;E13.311;25093002
2470;DIABETES MELLITUS TIPO 1 CON MANIFESTACIONES OFTALMOLOGICAS NO DESCOMPENSADA;250.51;E10.351;25093002
2471;DIABETES MELLITUS CON MANIFESTACIONES OFTALMOLOGICAS TIPO 2 DESCOMPENSADA;250.52;E11.39;25093002
2472;DIABETES MELLITUS TIPO 1 CON MANIFESTACIONES OFTALMOLOGICAS DESCOMPENSADA;250.53;E10.3;25093002
2473;DIABETES MELLITUS CON MANIFESTACION NEUROLOGICA;250.6;E11.40;267382005
2474;TRASTORNO NEUROLOGICO ASOCIADO CON DIABETES MELLITUS TIPO 2;250.60;E11.40;421326000
